path,folder,namefull,mouse,session,nTrial,mvtDir,actType,stimType,sessionNum,group,Area,MajorAxisLength,MinorAxisLength,Orientation,WeightedCentroid_1,WeightedCentroid_2,MeanIntensity,WeightedArea,ComponentId,FrameId,FrameTime,FramePeak
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,4387,105.321675915568,66.4680647838393,87.6547311637714,148.998491693172,243.785136285045,0.358133632148981,1571.13224423758,1,30,0.45,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,3307,93.314768342941,61.7653767485859,84.8262814446073,148.891358145317,240.972564954107,0.330342767754941,1092.44353296559,1,31,0.5,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,1456,61.5420041781464,31.5782252667494,-13.6243178849037,150.516782536393,233.796781805747,0.365832722703064,532.652444255662,1,32,0.55,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,293,38.4093974197864,15.322001155291,-56.8262600670641,137.672683199408,268.813723004938,0.145878728235201,42.742467372914,2,32,0.55,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,5,3.3065591380366,2.12916258968951,18.434948822922,147.252108668961,286.374557208238,0.0130673243306993,0.0653366216534967,3,32,0.55,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,2,2.3094010767585,1.15470053837925,0,148.640988352114,306,0.00733471724143708,0.0146694344828742,4,32,0.55,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,449,46.4993856192411,19.6494816459901,-20.1775179763323,148.023423751957,233.192401594488,0.289337605277528,129.91258476961,1,33,0.6,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,51,8.43829251197082,7.82203941469629,15.2345558193987,174.58120681719,235.65120873052,0.350231123967626,17.8617873223489,2,33,0.6,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,2,2.3094010767585,1.15470053837925,0,165.739608665021,227,0.0355036341252051,0.0710072682504102,3,33,0.6,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,34,0.65,0
